attempt_id,candidate_id,benchmark,strategy,suffix_pass,checkpoint_index,checkpoint_path,cec_status,counterpart_present,graph_active,usable_boundary,first_loss_reason,area_delta,depth_delta,schema_version
bilinear_divisor__active_source_counterpart__rewrite,bilinear_divisor__active_source_counterpart,bilinear_divisor,bounded_pass_choice,identity_pass_choice,3,results/active_source_counterpart_refactoring/artifacts/bilinear_divisor.bounded_pass_choice.suffix.blif,equivalent,true,true,true,,0,0,active_source_counterpart_refactoring_v1
bilinear_divisor__active_source_counterpart__rewrite,bilinear_divisor__active_source_counterpart,bilinear_divisor,keep_style_diagnostic,strash; balance,4,results/active_source_counterpart_refactoring/artifacts/bilinear_divisor.keep_style_diagnostic.suffix.blif,equivalent,false,false,false,counterpart_name_removed_by_suffix,50,0,active_source_counterpart_refactoring_v1
mac_divisor__active_source_counterpart__rewrite,mac_divisor__active_source_counterpart,mac_divisor,unprotected_synthesis,strash; rewrite,1,results/active_source_counterpart_refactoring/artifacts/mac_divisor.unprotected_synthesis.suffix.blif,equivalent,false,false,false,counterpart_name_removed_by_suffix,37,0,active_source_counterpart_refactoring_v1
mac_divisor__active_source_counterpart__rewrite,mac_divisor__active_source_counterpart,mac_divisor,repair_after_pass,reconstruct_after_suffix,2,results/active_source_counterpart_refactoring/artifacts/mac_divisor.repair_after_pass.suffix.blif,equivalent,true,true,true,,0,0,active_source_counterpart_refactoring_v1
mac_divisor__active_source_counterpart__rewrite,mac_divisor__active_source_counterpart,mac_divisor,bounded_pass_choice,identity_pass_choice,3,results/active_source_counterpart_refactoring/artifacts/mac_divisor.bounded_pass_choice.suffix.blif,equivalent,true,true,true,,0,0,active_source_counterpart_refactoring_v1
mac_divisor__active_source_counterpart__rewrite,mac_divisor__active_source_counterpart,mac_divisor,keep_style_diagnostic,strash; balance,4,results/active_source_counterpart_refactoring/artifacts/mac_divisor.keep_style_diagnostic.suffix.blif,equivalent,false,false,false,counterpart_name_removed_by_suffix,50,0,active_source_counterpart_refactoring_v1
reordered_multi_output_divisor__active_source_counterpart__rewrite,reordered_multi_output_divisor__active_source_counterpart,reordered_multi_output_divisor,unprotected_synthesis,strash; rewrite,1,results/active_source_counterpart_refactoring/artifacts/reordered_multi_output_divisor.unprotected_synthesis.suffix.blif,equivalent,false,false,false,counterpart_name_removed_by_suffix,9,0,active_source_counterpart_refactoring_v1
reordered_multi_output_divisor__active_source_counterpart__rewrite,reordered_multi_output_divisor__active_source_counterpart,reordered_multi_output_divisor,repair_after_pass,reconstruct_after_suffix,2,results/active_source_counterpart_refactoring/artifacts/reordered_multi_output_divisor.repair_after_pass.suffix.blif,equivalent,true,true,true,,0,0,active_source_counterpart_refactoring_v1
reordered_multi_output_divisor__active_source_counterpart__rewrite,reordered_multi_output_divisor__active_source_counterpart,reordered_multi_output_divisor,bounded_pass_choice,identity_pass_choice,3,results/active_source_counterpart_refactoring/artifacts/reordered_multi_output_divisor.bounded_pass_choice.suffix.blif,equivalent,true,true,true,,0,0,active_source_counterpart_refactoring_v1
reordered_multi_output_divisor__active_source_counterpart__rewrite,reordered_multi_output_divisor__active_source_counterpart,reordered_multi_output_divisor,keep_style_diagnostic,strash; balance,4,results/active_source_counterpart_refactoring/artifacts/reordered_multi_output_divisor.keep_style_diagnostic.suffix.blif,equivalent,false,false,false,counterpart_name_removed_by_suffix,19,0,active_source_counterpart_refactoring_v1
boolean_obscured_divisor__active_source_counterpart__rewrite,boolean_obscured_divisor__active_source_counterpart,boolean_obscured_divisor,unprotected_synthesis,strash; rewrite,1,results/active_source_counterpart_refactoring/artifacts/boolean_obscured_divisor.unprotected_synthesis.suffix.blif,equivalent,false,false,false,counterpart_name_removed_by_suffix,8,0,active_source_counterpart_refactoring_v1
boolean_obscured_divisor__active_source_counterpart__rewrite,boolean_obscured_divisor__active_source_counterpart,boolean_obscured_divisor,repair_after_pass,reconstruct_after_suffix,2,results/active_source_counterpart_refactoring/artifacts/boolean_obscured_divisor.repair_after_pass.suffix.blif,equivalent,true,true,true,,0,0,active_source_counterpart_refactoring_v1
boolean_obscured_divisor__active_source_counterpart__rewrite,boolean_obscured_divisor__active_source_counterpart,boolean_obscured_divisor,bounded_pass_choice,identity_pass_choice,3,results/active_source_counterpart_refactoring/artifacts/boolean_obscured_divisor.bounded_pass_choice.suffix.blif,equivalent,true,true,true,,0,0,active_source_counterpart_refactoring_v1
boolean_obscured_divisor__active_source_counterpart__rewrite,boolean_obscured_divisor__active_source_counterpart,boolean_obscured_divisor,keep_style_diagnostic,strash; balance,4,results/active_source_counterpart_refactoring/artifacts/boolean_obscured_divisor.keep_style_diagnostic.suffix.blif,equivalent,false,false,false,counterpart_name_removed_by_suffix,10,0,active_source_counterpart_refactoring_v1
closed_region_fails_decomposition_succeeds__active_source_counterpart__rewrite,closed_region_fails_decomposition_succeeds__active_source_counterpart,closed_region_fails_decomposition_succeeds,unprotected_synthesis,strash; rewrite,1,results/active_source_counterpart_refactoring/artifacts/closed_region_fails_decomposition_succeeds.unprotected_synthesis.suffix.blif,equivalent,false,false,false,counterpart_name_removed_by_suffix,7,0,active_source_counterpart_refactoring_v1
closed_region_fails_decomposition_succeeds__active_source_counterpart__rewrite,closed_region_fails_decomposition_succeeds__active_source_counterpart,closed_region_fails_decomposition_succeeds,repair_after_pass,reconstruct_after_suffix,2,results/active_source_counterpart_refactoring/artifacts/closed_region_fails_decomposition_succeeds.repair_after_pass.suffix.blif,equivalent,true,true,true,,0,0,active_source_counterpart_refactoring_v1
closed_region_fails_decomposition_succeeds__active_source_counterpart__rewrite,closed_region_fails_decomposition_succeeds__active_source_counterpart,closed_region_fails_decomposition_succeeds,bounded_pass_choice,identity_pass_choice,3,results/active_source_counterpart_refactoring/artifacts/closed_region_fails_decomposition_succeeds.bounded_pass_choice.suffix.blif,equivalent,true,true,true,,0,0,active_source_counterpart_refactoring_v1
closed_region_fails_decomposition_succeeds__active_source_counterpart__rewrite,closed_region_fails_decomposition_succeeds__active_source_counterpart,closed_region_fails_decomposition_succeeds,keep_style_diagnostic,strash; balance,4,results/active_source_counterpart_refactoring/artifacts/closed_region_fails_decomposition_succeeds.keep_style_diagnostic.suffix.blif,equivalent,false,false,false,counterpart_name_removed_by_suffix,7,0,active_source_counterpart_refactoring_v1
joint_bypass_fails_decomposition_succeeds__active_source_counterpart__rewrite,joint_bypass_fails_decomposition_succeeds__active_source_counterpart,joint_bypass_fails_decomposition_succeeds,unprotected_synthesis,strash; rewrite,1,results/active_source_counterpart_refactoring/artifacts/joint_bypass_fails_decomposition_succeeds.unprotected_synthesis.suffix.blif,equivalent,false,false,false,counterpart_name_removed_by_suffix,44,0,active_source_counterpart_refactoring_v1
joint_bypass_fails_decomposition_succeeds__active_source_counterpart__rewrite,joint_bypass_fails_decomposition_succeeds__active_source_counterpart,joint_bypass_fails_decomposition_succeeds,repair_after_pass,reconstruct_after_suffix,2,results/active_source_counterpart_refactoring/artifacts/joint_bypass_fails_decomposition_succeeds.repair_after_pass.suffix.blif,equivalent,true,true,true,,0,0,active_source_counterpart_refactoring_v1
joint_bypass_fails_decomposition_succeeds__active_source_counterpart__rewrite,joint_bypass_fails_decomposition_succeeds__active_source_counterpart,joint_bypass_fails_decomposition_succeeds,bounded_pass_choice,identity_pass_choice,3,results/active_source_counterpart_refactoring/artifacts/joint_bypass_fails_decomposition_succeeds.bounded_pass_choice.suffix.blif,equivalent,true,true,true,,0,0,active_source_counterpart_refactoring_v1
joint_bypass_fails_decomposition_succeeds__active_source_counterpart__rewrite,joint_bypass_fails_decomposition_succeeds__active_source_counterpart,joint_bypass_fails_decomposition_succeeds,keep_style_diagnostic,strash; balance,4,results/active_source_counterpart_refactoring/artifacts/joint_bypass_fails_decomposition_succeeds.keep_style_diagnostic.suffix.blif,equivalent,false,false,false,counterpart_name_removed_by_suffix,51,0,active_source_counterpart_refactoring_v1
requires_residual_variable__active_source_counterpart__rewrite,requires_residual_variable__active_source_counterpart,requires_residual_variable,unprotected_synthesis,strash; rewrite,1,results/active_source_counterpart_refactoring/artifacts/requires_residual_variable.unprotected_synthesis.suffix.blif,equivalent,false,false,false,counterpart_name_removed_by_suffix,9,0,active_source_counterpart_refactoring_v1
requires_residual_variable__active_source_counterpart__rewrite,requires_residual_variable__active_source_counterpart,requires_residual_variable,repair_after_pass,reconstruct_after_suffix,2,results/active_source_counterpart_refactoring/artifacts/requires_residual_variable.repair_after_pass.suffix.blif,equivalent,true,true,true,,0,0,active_source_counterpart_refactoring_v1
requires_residual_variable__active_source_counterpart__rewrite,requires_residual_variable__active_source_counterpart,requires_residual_variable,bounded_pass_choice,identity_pass_choice,3,results/active_source_counterpart_refactoring/artifacts/requires_residual_variable.bounded_pass_choice.suffix.blif,equivalent,true,true,true,,0,0,active_source_counterpart_refactoring_v1
requires_residual_variable__active_source_counterpart__rewrite,requires_residual_variable__active_source_counterpart,requires_residual_variable,keep_style_diagnostic,strash; balance,4,results/active_source_counterpart_refactoring/artifacts/requires_residual_variable.keep_style_diagnostic.suffix.blif,equivalent,false,false,false,counterpart_name_removed_by_suffix,19,0,active_source_counterpart_refactoring_v1
requires_multi_output_m__active_source_counterpart__rewrite,requires_multi_output_m__active_source_counterpart,requires_multi_output_m,unprotected_synthesis,strash; rewrite,1,results/active_source_counterpart_refactoring/artifacts/requires_multi_output_m.unprotected_synthesis.suffix.blif,equivalent,false,false,false,counterpart_name_removed_by_suffix,7,0,active_source_counterpart_refactoring_v1
requires_multi_output_m__active_source_counterpart__rewrite,requires_multi_output_m__active_source_counterpart,requires_multi_output_m,repair_after_pass,reconstruct_after_suffix,2,results/active_source_counterpart_refactoring/artifacts/requires_multi_output_m.repair_after_pass.suffix.blif,equivalent,true,true,true,,0,0,active_source_counterpart_refactoring_v1
requires_multi_output_m__active_source_counterpart__rewrite,requires_multi_output_m__active_source_counterpart,requires_multi_output_m,bounded_pass_choice,identity_pass_choice,3,results/active_source_counterpart_refactoring/artifacts/requires_multi_output_m.bounded_pass_choice.suffix.blif,equivalent,true,true,true,,0,0,active_source_counterpart_refactoring_v1
requires_multi_output_m__active_source_counterpart__rewrite,requires_multi_output_m__active_source_counterpart,requires_multi_output_m,keep_style_diagnostic,strash; balance,4,results/active_source_counterpart_refactoring/artifacts/requires_multi_output_m.keep_style_diagnostic.suffix.blif,equivalent,false,false,false,counterpart_name_removed_by_suffix,7,0,active_source_counterpart_refactoring_v1
