benchmark,circuit,optimization,path_type,path_length,path_index,optimized_node,structural_level,node_delay,arrival_time,mapped_original_node,mapping_category,confidence,distance,explanation
external_iscas85_c432,c432,rewrite,structural,41,35,new_n206,35,1.0,35.0,new_n230,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,structural,41,36,G430,36,1.0,36.0,,unresolved,,,"No signature, complemented, SAT/CEC-proven, or near-distance candidate was available."
external_iscas85_c432,c432,rewrite,structural,41,37,new_n221,37,1.0,37.0,,unresolved,,,"No signature, complemented, SAT/CEC-proven, or near-distance candidate was available."
external_iscas85_c432,c432,rewrite,structural,41,38,new_n222,38,1.0,38.0,,unresolved,,,"No signature, complemented, SAT/CEC-proven, or near-distance candidate was available."
external_iscas85_c432,c432,rewrite,structural,41,39,new_n223,39,1.0,39.0,,unresolved,,,"No signature, complemented, SAT/CEC-proven, or near-distance candidate was available."
external_iscas85_c432,c432,rewrite,structural,41,40,new_n224,40,1.0,40.0,,unresolved,,,"No signature, complemented, SAT/CEC-proven, or near-distance candidate was available."
external_iscas85_c432,c432,rewrite,structural,41,41,G429,41,1.0,41.0,,unresolved,,,"No signature, complemented, SAT/CEC-proven, or near-distance candidate was available."
external_iscas85_c432,c432,rewrite,delay_weighted,41,1,new_n51,1,1.0,1.0,new_n51,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,delay_weighted,41,2,new_n53,2,1.0,2.0,new_n53,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,delay_weighted,41,3,new_n54,3,1.0,3.0,new_n54,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,delay_weighted,41,4,new_n55,4,1.0,4.0,new_n55,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,delay_weighted,41,5,new_n56,5,1.0,5.0,new_n56,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,delay_weighted,41,6,new_n57,6,1.0,6.0,new_n57,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,delay_weighted,41,7,new_n58,7,1.0,7.0,new_n58,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,delay_weighted,41,8,new_n59,8,1.0,8.0,new_n59,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,delay_weighted,41,9,G426,9,1.0,9.0,,unresolved,,,"No signature, complemented, SAT/CEC-proven, or near-distance candidate was available."
external_iscas85_c432,c432,rewrite,delay_weighted,41,10,new_n90,10,1.0,10.0,new_n61,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,delay_weighted,41,11,new_n92,11,1.0,11.0,new_n98,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,delay_weighted,41,12,new_n94,12,1.0,12.0,new_n100,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,delay_weighted,41,13,new_n100,13,1.0,13.0,new_n106,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,delay_weighted,41,14,new_n101,14,1.0,14.0,new_n107,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,delay_weighted,41,15,new_n102,15,1.0,15.0,new_n108,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,delay_weighted,41,16,new_n103,16,1.0,16.0,new_n109,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,delay_weighted,41,17,new_n104,17,1.0,17.0,new_n110,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,delay_weighted,41,18,new_n105,18,1.0,18.0,new_n111,sat_cec_proven_equivalent,1.0,,SAT/CEC proved equivalence after the initial structural/signature matching stage missed the pair.
external_iscas85_c432,c432,rewrite,delay_weighted,41,19,new_n106,19,1.0,19.0,new_n112,sat_cec_proven_equivalent,1.0,,SAT/CEC proved equivalence after the initial structural/signature matching stage missed the pair.
external_iscas85_c432,c432,rewrite,delay_weighted,41,20,G427,20,1.0,20.0,,unresolved,,,"No signature, complemented, SAT/CEC-proven, or near-distance candidate was available."
external_iscas85_c432,c432,rewrite,delay_weighted,41,21,new_n144,21,1.0,21.0,new_n114,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,delay_weighted,41,22,new_n146,22,1.0,22.0,new_n158,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,delay_weighted,41,23,new_n149,23,1.0,23.0,new_n161,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,delay_weighted,41,24,new_n156,24,1.0,24.0,new_n168,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,delay_weighted,41,25,new_n157,25,1.0,25.0,new_n169,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,delay_weighted,41,26,new_n158,26,1.0,26.0,new_n170,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,delay_weighted,41,27,new_n159,27,1.0,27.0,new_n171,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,delay_weighted,41,28,new_n160,28,1.0,28.0,new_n172,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,delay_weighted,41,29,new_n161,29,1.0,29.0,new_n173,sat_cec_proven_equivalent,1.0,,SAT/CEC proved equivalence after the initial structural/signature matching stage missed the pair.
external_iscas85_c432,c432,rewrite,delay_weighted,41,30,new_n162,30,1.0,30.0,new_n174,sat_cec_proven_equivalent,1.0,,SAT/CEC proved equivalence after the initial structural/signature matching stage missed the pair.
external_iscas85_c432,c432,rewrite,delay_weighted,41,31,G428,31,1.0,31.0,,unresolved,,,"No signature, complemented, SAT/CEC-proven, or near-distance candidate was available."
external_iscas85_c432,c432,rewrite,delay_weighted,41,32,new_n194,32,1.0,32.0,new_n176,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,delay_weighted,41,33,new_n198,33,1.0,33.0,new_n186,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,delay_weighted,41,34,new_n199,34,1.0,34.0,new_n223,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,delay_weighted,41,35,new_n206,35,1.0,35.0,new_n230,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c432,c432,rewrite,delay_weighted,41,36,G430,36,1.0,36.0,,unresolved,,,"No signature, complemented, SAT/CEC-proven, or near-distance candidate was available."
external_iscas85_c432,c432,rewrite,delay_weighted,41,37,new_n221,37,1.0,37.0,,unresolved,,,"No signature, complemented, SAT/CEC-proven, or near-distance candidate was available."
external_iscas85_c432,c432,rewrite,delay_weighted,41,38,new_n222,38,1.0,38.0,,unresolved,,,"No signature, complemented, SAT/CEC-proven, or near-distance candidate was available."
external_iscas85_c432,c432,rewrite,delay_weighted,41,39,new_n223,39,1.0,39.0,,unresolved,,,"No signature, complemented, SAT/CEC-proven, or near-distance candidate was available."
external_iscas85_c432,c432,rewrite,delay_weighted,41,40,new_n224,40,1.0,40.0,,unresolved,,,"No signature, complemented, SAT/CEC-proven, or near-distance candidate was available."
external_iscas85_c432,c432,rewrite,delay_weighted,41,41,G429,41,1.0,41.0,,unresolved,,,"No signature, complemented, SAT/CEC-proven, or near-distance candidate was available."
external_iscas85_c2670,c2670,rewrite,structural,21,1,new_n261,1,1.0,1.0,new_n268,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,structural,21,2,new_n262,2,1.0,2.0,new_n269,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,structural,21,3,new_n264,3,1.0,3.0,new_n272,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,structural,21,4,new_n266,4,1.0,4.0,new_n273,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,structural,21,5,G2559,5,1.0,5.0,,unresolved,,,"No signature, complemented, SAT/CEC-proven, or near-distance candidate was available."
external_iscas85_c2670,c2670,rewrite,structural,21,6,new_n690,6,1.0,6.0,new_n792,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,structural,21,7,new_n725,7,1.0,7.0,new_n796,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,structural,21,8,new_n738,8,1.0,8.0,new_n853,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,structural,21,9,new_n740,9,1.0,9.0,new_n855,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,structural,21,10,new_n741,10,1.0,10.0,new_n856,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,structural,21,11,new_n743,11,1.0,11.0,new_n861,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,structural,21,12,new_n745,12,1.0,12.0,new_n863,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,structural,21,13,new_n750,13,1.0,13.0,new_n880,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,structural,21,14,new_n751,14,1.0,14.0,new_n876,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,structural,21,15,new_n752,15,1.0,15.0,new_n877,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,structural,21,16,new_n757,16,1.0,16.0,new_n878,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,structural,21,17,new_n769,17,1.0,17.0,new_n892,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,structural,21,18,new_n797,18,1.0,18.0,new_n924,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,structural,21,19,new_n798,19,1.0,19.0,,unresolved,,,"No signature, complemented, SAT/CEC-proven, or near-distance candidate was available."
external_iscas85_c2670,c2670,rewrite,structural,21,20,new_n799,20,1.0,20.0,new_n933,global_approximate_near_match,0.951904296875,0.048095703125,Closest approximate-distance candidate.
external_iscas85_c2670,c2670,rewrite,structural,21,21,G2591,21,1.0,21.0,,unresolved,,,"No signature, complemented, SAT/CEC-proven, or near-distance candidate was available."
external_iscas85_c2670,c2670,rewrite,delay_weighted,21,1,new_n261,1,1.0,1.0,new_n268,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,delay_weighted,21,2,new_n262,2,1.0,2.0,new_n269,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,delay_weighted,21,3,new_n264,3,1.0,3.0,new_n272,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,delay_weighted,21,4,new_n266,4,1.0,4.0,new_n273,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,delay_weighted,21,5,G2559,5,1.0,5.0,,unresolved,,,"No signature, complemented, SAT/CEC-proven, or near-distance candidate was available."
external_iscas85_c2670,c2670,rewrite,delay_weighted,21,6,new_n690,6,1.0,6.0,new_n792,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,delay_weighted,21,7,new_n725,7,1.0,7.0,new_n796,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,delay_weighted,21,8,new_n738,8,1.0,8.0,new_n853,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,delay_weighted,21,9,new_n740,9,1.0,9.0,new_n855,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,delay_weighted,21,10,new_n741,10,1.0,10.0,new_n856,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,delay_weighted,21,11,new_n743,11,1.0,11.0,new_n861,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,delay_weighted,21,12,new_n745,12,1.0,12.0,new_n863,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,delay_weighted,21,13,new_n750,13,1.0,13.0,new_n880,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,delay_weighted,21,14,new_n751,14,1.0,14.0,new_n876,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,delay_weighted,21,15,new_n752,15,1.0,15.0,new_n877,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,delay_weighted,21,16,new_n757,16,1.0,16.0,new_n878,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,delay_weighted,21,17,new_n769,17,1.0,17.0,new_n892,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,delay_weighted,21,18,new_n797,18,1.0,18.0,new_n924,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c2670,c2670,rewrite,delay_weighted,21,19,new_n798,19,1.0,19.0,,unresolved,,,"No signature, complemented, SAT/CEC-proven, or near-distance candidate was available."
external_iscas85_c2670,c2670,rewrite,delay_weighted,21,20,new_n799,20,1.0,20.0,new_n933,global_approximate_near_match,0.951904296875,0.048095703125,Closest approximate-distance candidate.
external_iscas85_c2670,c2670,rewrite,delay_weighted,21,21,G2591,21,1.0,21.0,,unresolved,,,"No signature, complemented, SAT/CEC-proven, or near-distance candidate was available."
external_iscas85_c6288,c6288,rewrite,structural,117,1,new_n1047,1,1.0,1.0,new_n1047,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,2,new_n1049,2,1.0,2.0,new_n1049,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,3,new_n1050,3,1.0,3.0,new_n1050,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,4,new_n1052,4,1.0,4.0,new_n1052,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,5,new_n1053,5,1.0,5.0,new_n1053,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,6,new_n1054,6,1.0,6.0,new_n1054,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,7,new_n1056,7,1.0,7.0,new_n1056,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,8,new_n1058,8,1.0,8.0,new_n1058,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,9,new_n1059,9,1.0,9.0,new_n1059,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,10,new_n1061,10,1.0,10.0,new_n1061,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,11,new_n1063,11,1.0,11.0,new_n1063,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,12,new_n1064,12,1.0,12.0,new_n1064,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,13,new_n1066,13,1.0,13.0,new_n1066,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,14,new_n1068,14,1.0,14.0,new_n1068,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,15,new_n1069,15,1.0,15.0,new_n1069,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,16,new_n1071,16,1.0,16.0,new_n1071,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,17,new_n1073,17,1.0,17.0,new_n1073,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,18,new_n1074,18,1.0,18.0,new_n1074,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,19,new_n1076,19,1.0,19.0,new_n1076,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,20,new_n1078,20,1.0,20.0,new_n1078,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,21,new_n1079,21,1.0,21.0,new_n1079,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,22,new_n1081,22,1.0,22.0,new_n1081,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,23,new_n1083,23,1.0,23.0,new_n1083,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,24,new_n1084,24,1.0,24.0,new_n1084,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,25,new_n1086,25,1.0,25.0,new_n1086,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,26,new_n1088,26,1.0,26.0,new_n1088,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,27,new_n1089,27,1.0,27.0,new_n1089,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,28,new_n1091,28,1.0,28.0,new_n1091,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,29,new_n1093,29,1.0,29.0,new_n1093,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,30,new_n1094,30,1.0,30.0,new_n1094,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,31,new_n1096,31,1.0,31.0,new_n1096,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,32,new_n1098,32,1.0,32.0,new_n1098,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,33,new_n1099,33,1.0,33.0,new_n1099,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,34,new_n1101,34,1.0,34.0,new_n1101,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,35,new_n1103,35,1.0,35.0,new_n1103,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,36,new_n1104,36,1.0,36.0,new_n1104,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,37,new_n1106,37,1.0,37.0,new_n1106,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,38,new_n1108,38,1.0,38.0,new_n1108,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,39,new_n1109,39,1.0,39.0,new_n1109,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,40,new_n1111,40,1.0,40.0,new_n1111,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,41,new_n1113,41,1.0,41.0,new_n1113,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,42,new_n1114,42,1.0,42.0,new_n1114,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,43,new_n1116,43,1.0,43.0,new_n1116,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,44,new_n1118,44,1.0,44.0,new_n1118,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,45,new_n1119,45,1.0,45.0,new_n1119,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,46,new_n1121,46,1.0,46.0,new_n1121,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,47,new_n1123,47,1.0,47.0,new_n1123,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,48,new_n1124,48,1.0,48.0,new_n1124,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,49,new_n1126,49,1.0,49.0,new_n1126,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,50,new_n1128,50,1.0,50.0,new_n1128,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,51,new_n1129,51,1.0,51.0,new_n1129,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,52,new_n1131,52,1.0,52.0,new_n1131,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,53,new_n1133,53,1.0,53.0,new_n1133,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,54,new_n1134,54,1.0,54.0,new_n1134,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,55,new_n1136,55,1.0,55.0,new_n1136,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,56,new_n1138,56,1.0,56.0,new_n1138,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,57,new_n1139,57,1.0,57.0,new_n1139,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,58,new_n1141,58,1.0,58.0,new_n1141,exact_signature_match,1.0,,Signature match from top_candidates.
external_iscas85_c6288,c6288,rewrite,structural,117,59,new_n1143,59,1.0,59.0,new_n1143,exact_signature_match,1.0,,Signature match from top_candidates.
