benchmark,optimization,verified,rejected,inconclusive,total,verification_rate,rejection_rate,inconclusive_rate,avg_combined_score,direct_name_count,fingerprint_recovered,still_inconclusive,exact_anchor_verified,exact_anchor_rejected,exact_anchor_inconclusive,non_exact_verified,non_exact_rejected,non_exact_inconclusive
external_iscas85_c432,refactor_z,0,14,0,14,0.0,1.0,0.0,0.8899,14,0,0,0,0,0,0,14,0
external_iscas85_c432,resub,23,7,0,30,0.7667,0.2333,0.0,0.8842,30,0,0,0,0,0,23,7,0
external_iscas85_c432,resyn,7,4,0,11,0.6364,0.3636,0.0,0.8642,11,0,0,0,0,0,7,4,0
external_iscas85_c432,resyn2,6,2,0,8,0.75,0.25,0.0,0.8614,8,0,0,0,0,0,6,2,0
external_iscas85_c432,resyn2_like,6,2,0,8,0.75,0.25,0.0,0.8614,8,0,0,0,0,0,6,2,0
external_iscas85_c432,rewrite,11,5,0,16,0.6875,0.3125,0.0,0.8949,16,0,0,0,0,0,11,5,0
external_iscas85_c432,rewrite_z,15,18,0,33,0.4545,0.5455,0.0,0.9066,33,0,0,0,0,0,15,18,0
external_iscas85_c499,balance,0,68,0,68,0.0,1.0,0.0,0.9943,68,0,0,0,0,0,0,68,0
external_iscas85_c499,compress2rs,0,72,0,72,0.0,1.0,0.0,0.9324,72,0,0,0,0,0,0,72,0
external_iscas85_c499,dc2,0,73,0,73,0.0,1.0,0.0,0.9462,73,0,0,0,0,0,0,73,0
external_iscas85_c499,refactor,0,2,0,2,0.0,1.0,0.0,0.9151,2,0,0,0,0,0,0,2,0
external_iscas85_c499,refactor_z,0,2,0,2,0.0,1.0,0.0,0.9151,2,0,0,0,0,0,0,2,0
external_iscas85_c499,resyn,0,65,0,65,0.0,1.0,0.0,0.9313,65,0,0,0,0,0,0,65,0
external_iscas85_c499,resyn2,0,65,0,65,0.0,1.0,0.0,0.9313,65,0,0,0,0,0,0,65,0
external_iscas85_c499,resyn2_like,0,65,0,65,0.0,1.0,0.0,0.9313,65,0,0,0,0,0,0,65,0
external_iscas85_c499,rewrite,0,70,0,70,0.0,1.0,0.0,0.9921,70,0,0,0,0,0,0,70,0
external_iscas85_c499,rewrite_z,0,75,0,75,0.0,1.0,0.0,0.9583,75,0,0,0,0,0,0,75,0
external_iscas85_c5315,balance,0,19,0,19,0.0,1.0,0.0,0.9009,19,0,0,0,0,0,0,19,0
external_iscas85_c5315,compress2rs,9,74,0,83,0.1084,0.8916,0.0,0.8871,83,0,0,0,0,0,9,74,0
external_iscas85_c5315,dc2,5,144,0,149,0.0336,0.9664,0.0,0.8817,149,0,0,0,0,0,5,144,0
external_iscas85_c5315,refactor,9,36,0,45,0.2,0.8,0.0,0.8948,45,0,0,0,0,0,9,36,0
external_iscas85_c5315,refactor_z,0,62,0,62,0.0,1.0,0.0,0.895,62,0,0,0,0,0,0,62,0
external_iscas85_c5315,resub,20,3,0,23,0.8696,0.1304,0.0,0.8973,23,0,0,0,0,0,20,3,0
external_iscas85_c5315,resyn,0,123,0,123,0.0,1.0,0.0,0.8728,123,0,0,0,0,0,0,123,0
external_iscas85_c5315,resyn2,11,84,0,95,0.1158,0.8842,0.0,0.8898,95,0,0,0,0,0,11,84,0
external_iscas85_c5315,resyn2_like,11,84,0,95,0.1158,0.8842,0.0,0.8898,95,0,0,0,0,0,11,84,0
external_iscas85_c5315,rewrite,25,112,0,137,0.1825,0.8175,0.0,0.8912,137,0,0,0,0,0,25,112,0
external_iscas85_c5315,rewrite_z,0,144,0,144,0.0,1.0,0.0,0.8826,144,0,0,0,0,0,0,144,0
external_iscas85_c6288,compress2rs,16,279,0,295,0.0542,0.9458,0.0,0.8766,295,0,0,0,0,0,16,279,0
external_iscas85_c6288,dc2,16,278,0,294,0.0544,0.9456,0.0,0.8763,294,0,0,0,0,0,16,278,0
external_iscas85_c6288,refactor_z,0,38,0,38,0.0,1.0,0.0,0.9532,38,0,0,0,0,0,0,38,0
external_iscas85_c6288,resub,0,38,0,38,0.0,1.0,0.0,0.9532,38,0,0,0,0,0,0,38,0
external_iscas85_c6288,resyn,16,265,0,281,0.0569,0.9431,0.0,0.8796,281,0,0,0,0,0,16,265,0
external_iscas85_c6288,resyn2,16,279,0,295,0.0542,0.9458,0.0,0.8766,295,0,0,0,0,0,16,279,0
external_iscas85_c6288,resyn2_like,16,279,0,295,0.0542,0.9458,0.0,0.8766,295,0,0,0,0,0,16,279,0
external_iscas85_c6288,rewrite,37,89,0,126,0.2937,0.7063,0.0,0.9187,126,0,0,0,0,0,37,89,0
external_iscas85_c6288,rewrite_z,16,265,0,281,0.0569,0.9431,0.0,0.8796,281,0,0,0,0,0,16,265,0
external_iscas85_c7552,balance,0,88,0,88,0.0,1.0,0.0,0.9081,88,0,0,0,0,0,0,88,0
external_iscas85_c7552,compress2rs,0,244,0,244,0.0,1.0,0.0,0.9012,244,0,0,0,0,0,0,244,0
external_iscas85_c7552,dc2,0,225,0,225,0.0,1.0,0.0,0.9023,225,0,0,0,0,0,0,225,0
external_iscas85_c7552,refactor,0,167,0,167,0.0,1.0,0.0,0.9109,167,0,0,0,0,0,0,167,0
external_iscas85_c7552,refactor_z,0,248,0,248,0.0,1.0,0.0,0.9127,248,0,0,0,0,0,0,248,0
external_iscas85_c7552,resub,0,46,0,46,0.0,1.0,0.0,0.9551,46,0,0,0,0,0,0,46,0
external_iscas85_c7552,resyn,0,236,0,236,0.0,1.0,0.0,0.9021,236,0,0,0,0,0,0,236,0
external_iscas85_c7552,resyn2,0,254,0,254,0.0,1.0,0.0,0.903,254,0,0,0,0,0,0,254,0
external_iscas85_c7552,resyn2_like,0,254,0,254,0.0,1.0,0.0,0.903,254,0,0,0,0,0,0,254,0
external_iscas85_c7552,rewrite,0,169,0,169,0.0,1.0,0.0,0.9104,169,0,0,0,0,0,0,169,0
external_iscas85_c7552,rewrite_z,0,280,0,280,0.0,1.0,0.0,0.9016,280,0,0,0,0,0,0,280,0
external_iscas85_c880,balance,0,23,0,23,0.0,1.0,0.0,0.9122,23,0,0,0,0,0,0,23,0
external_iscas85_c880,compress2rs,0,38,0,38,0.0,1.0,0.0,0.8958,38,0,0,0,0,0,0,38,0
external_iscas85_c880,dc2,0,37,0,37,0.0,1.0,0.0,0.9026,37,0,0,0,0,0,0,37,0
external_iscas85_c880,refactor,0,2,0,2,0.0,1.0,0.0,0.9097,2,0,0,0,0,0,0,2,0
external_iscas85_c880,refactor_z,0,15,0,15,0.0,1.0,0.0,0.8842,15,0,0,0,0,0,0,15,0
external_iscas85_c880,resyn,0,31,0,31,0.0,1.0,0.0,0.9025,31,0,0,0,0,0,0,31,0
external_iscas85_c880,resyn2,0,41,0,41,0.0,1.0,0.0,0.9008,41,0,0,0,0,0,0,41,0
external_iscas85_c880,resyn2_like,0,41,0,41,0.0,1.0,0.0,0.9008,41,0,0,0,0,0,0,41,0
external_iscas85_c880,rewrite,0,2,0,2,0.0,1.0,0.0,0.9342,2,0,0,0,0,0,0,2,0
external_iscas85_c880,rewrite_z,0,41,0,41,0.0,1.0,0.0,0.8982,41,0,0,0,0,0,0,41,0
generated_multiplier_4,balance,0,8,0,8,0.0,1.0,0.0,0.9586,8,0,0,0,0,0,0,8,0
generated_multiplier_4,compress2rs,0,45,0,45,0.0,1.0,0.0,0.9252,45,0,0,0,0,0,0,45,0
generated_multiplier_4,dc2,0,51,0,51,0.0,1.0,0.0,0.9224,51,0,0,0,0,0,0,51,0
generated_multiplier_4,refactor,0,17,0,17,0.0,1.0,0.0,0.9169,17,0,0,0,0,0,0,17,0
generated_multiplier_4,refactor_z,0,35,0,35,0.0,1.0,0.0,0.9271,35,0,0,0,0,0,0,35,0
generated_multiplier_4,resub,0,5,0,5,0.0,1.0,0.0,0.9459,5,0,0,0,0,0,0,5,0
generated_multiplier_4,resyn,0,49,0,49,0.0,1.0,0.0,0.9235,49,0,0,0,0,0,0,49,0
generated_multiplier_4,resyn2,0,49,0,49,0.0,1.0,0.0,0.9235,49,0,0,0,0,0,0,49,0
generated_multiplier_4,resyn2_like,0,49,0,49,0.0,1.0,0.0,0.9235,49,0,0,0,0,0,0,49,0
generated_multiplier_4,rewrite,0,25,0,25,0.0,1.0,0.0,0.9255,25,0,0,0,0,0,0,25,0
generated_multiplier_4,rewrite_z,0,47,0,47,0.0,1.0,0.0,0.925,47,0,0,0,0,0,0,47,0
generated_random_medium,compress2rs,0,3,0,3,0.0,1.0,0.0,0.8838,3,0,0,0,0,0,0,3,0
generated_random_medium,refactor_z,0,6,0,6,0.0,1.0,0.0,0.8708,6,0,0,0,0,0,0,6,0
generated_random_medium,resyn,0,2,0,2,0.0,1.0,0.0,0.8681,2,0,0,0,0,0,0,2,0
generated_random_medium,resyn2,0,3,0,3,0.0,1.0,0.0,0.8838,3,0,0,0,0,0,0,3,0
generated_random_medium,resyn2_like,0,3,0,3,0.0,1.0,0.0,0.8838,3,0,0,0,0,0,0,3,0
generated_random_medium,rewrite_z,0,3,0,3,0.0,1.0,0.0,0.8708,3,0,0,0,0,0,0,3,0
majority3,balance,0,1,0,1,0.0,1.0,0.0,0.8625,1,0,0,0,0,0,0,1,0
majority3,compress2rs,0,1,0,1,0.0,1.0,0.0,0.8625,1,0,0,0,0,0,0,1,0
majority3,dc2,0,1,0,1,0.0,1.0,0.0,0.8625,1,0,0,0,0,0,0,1,0
majority3,refactor_z,0,1,0,1,0.0,1.0,0.0,0.8625,1,0,0,0,0,0,0,1,0
majority3,resyn,0,1,0,1,0.0,1.0,0.0,0.8625,1,0,0,0,0,0,0,1,0
majority3,resyn2,0,1,0,1,0.0,1.0,0.0,0.8625,1,0,0,0,0,0,0,1,0
majority3,resyn2_like,0,1,0,1,0.0,1.0,0.0,0.8625,1,0,0,0,0,0,0,1,0
majority3,rewrite_z,0,1,0,1,0.0,1.0,0.0,0.8625,1,0,0,0,0,0,0,1,0
real_hand_written_full_adder,balance,0,1,0,1,0.0,1.0,0.0,0.8625,1,0,0,0,0,0,0,1,0
real_hand_written_full_adder,dc2,0,3,0,3,0.0,1.0,0.0,0.875,3,0,0,0,0,0,0,3,0
real_hand_written_full_adder,refactor_z,0,1,0,1,0.0,1.0,0.0,0.8625,1,0,0,0,0,0,0,1,0
real_hand_written_full_adder,resyn,0,1,0,1,0.0,1.0,0.0,0.8625,1,0,0,0,0,0,0,1,0
real_hand_written_full_adder,resyn2,0,1,0,1,0.0,1.0,0.0,0.8625,1,0,0,0,0,0,0,1,0
real_hand_written_full_adder,resyn2_like,0,1,0,1,0.0,1.0,0.0,0.8625,1,0,0,0,0,0,0,1,0
real_hand_written_full_adder,rewrite_z,0,1,0,1,0.0,1.0,0.0,0.8625,1,0,0,0,0,0,0,1,0
real_hand_written_mux_4to1,resyn,0,2,0,2,0.0,1.0,0.0,0.8625,2,0,0,0,0,0,0,2,0
real_hand_written_mux_4to1,rewrite,0,2,0,2,0.0,1.0,0.0,0.8625,2,0,0,0,0,0,0,2,0
real_hand_written_mux_4to1,rewrite_z,0,2,0,2,0.0,1.0,0.0,0.8625,2,0,0,0,0,0,0,2,0
real_hand_written_parity_8,dc2,0,2,0,2,0.0,1.0,0.0,0.8625,2,0,0,0,0,0,0,2,0
ALL,ALL,609,9030,0,9639,0.0632,0.9368,0.0,0.9056,9639,0,0,0,0,0,609,9030,0
