benchmark,circuit,optimization,path_length,path_index,optimized_node,optimized_depth,optimized_level,mapped_original_node,mapping_category,confidence,distance,combined_score,support_overlap,simulation_similarity,rank,distance_mode,is_formal_distance,approx_threshold,explanation
external_iscas85_c2670,c2670,compress2rs,17,1,new_n296,1,1,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,compress2rs,17,2,new_n298,2,2,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,compress2rs,17,3,new_n299,3,3,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,compress2rs,17,4,new_n304,4,4,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,compress2rs,17,5,new_n617,5,5,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,compress2rs,17,6,new_n619,6,6,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,compress2rs,17,7,new_n666,7,7,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,compress2rs,17,8,new_n668,8,8,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,compress2rs,17,9,new_n670,9,9,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,compress2rs,17,10,new_n672,10,10,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,compress2rs,17,11,new_n684,11,11,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,compress2rs,17,12,new_n686,12,12,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,compress2rs,17,13,new_n687,13,13,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,compress2rs,17,14,new_n689,14,14,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,compress2rs,17,15,G2590,15,15,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,compress2rs,17,16,G2593,16,16,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,compress2rs,17,17,G2594,17,17,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,dc2,20,1,new_n244,1,1,new_n395,exact_signature_match,1.0,,1.0,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,dc2,20,2,new_n261,2,2,new_n267,exact_signature_match,1.0,,1.0,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,dc2,20,3,new_n263,3,3,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,dc2,20,4,new_n265,4,4,new_n273,exact_signature_match,1.0,,1.0,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,dc2,20,5,G2559,5,5,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,dc2,20,6,new_n678,6,6,new_n792,exact_signature_match,1.0,,1.0,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,dc2,20,7,new_n701,7,7,new_n796,exact_signature_match,1.0,,0.95,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,dc2,20,8,new_n714,8,8,new_n796,global_approximate_near_match,0.965576171875,0.034423828125,0.9546809269831732,0.9230769230769232,0.966552734375,1.0,sampled,False,0.05,Closest approximate-distance candidate below the configured threshold.
external_iscas85_c2670,c2670,dc2,20,9,new_n716,9,9,new_n911,global_approximate_near_match,0.97021484375,0.02978515625,0.95660400390625,0.9285714285714286,0.966552734375,1.0,sampled,False,0.05,Closest approximate-distance candidate below the configured threshold.
external_iscas85_c2670,c2670,dc2,20,10,new_n717,10,10,new_n919,exact_signature_match,1.0,,0.95,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,dc2,20,11,new_n722,11,11,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,dc2,20,12,new_n729,12,12,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,dc2,20,13,new_n736,13,13,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,dc2,20,14,new_n740,14,14,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,dc2,20,15,new_n741,15,15,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,dc2,20,16,new_n748,16,16,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,dc2,20,17,new_n751,17,17,new_n924,sat_cec_proven_equivalent,1.0,,0.8895589192708333,1.0,,1.0,,,0.05,SAT/CEC proved equivalence after the initial structural/signature matching stage missed the pair.
external_iscas85_c2670,c2670,dc2,20,18,new_n759,18,18,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,dc2,20,19,new_n760,19,19,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,dc2,20,20,G2591,20,20,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,refactor,21,1,new_n260,1,1,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,refactor,21,2,new_n262,2,2,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,refactor,21,3,new_n263,3,3,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,refactor,21,4,G2559,4,4,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,refactor,21,5,new_n718,5,5,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,refactor,21,6,new_n721,6,6,new_n796,sat_cec_proven_equivalent,1.0,,0.8949300130208333,1.0,,1.0,,,0.05,SAT/CEC proved equivalence after the initial structural/signature matching stage missed the pair.
external_iscas85_c2670,c2670,refactor,21,7,new_n776,7,7,new_n842,sat_cec_proven_equivalent,1.0,,0.9162801106770834,1.0,,1.0,,,0.05,SAT/CEC proved equivalence after the initial structural/signature matching stage missed the pair.
external_iscas85_c2670,c2670,refactor,21,8,new_n778,8,8,new_n844,sat_cec_proven_equivalent,1.0,,0.9117146809895832,1.0,,1.0,,,0.05,SAT/CEC proved equivalence after the initial structural/signature matching stage missed the pair.
external_iscas85_c2670,c2670,refactor,21,9,new_n779,9,9,new_n845,sat_cec_proven_equivalent,1.0,,0.9208455403645832,1.0,,1.0,,,0.05,SAT/CEC proved equivalence after the initial structural/signature matching stage missed the pair.
external_iscas85_c2670,c2670,refactor,21,10,new_n781,10,10,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,refactor,21,11,new_n782,11,11,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,refactor,21,12,new_n784,12,12,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,refactor,21,13,new_n785,13,13,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,refactor,21,14,new_n786,14,14,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,refactor,21,15,new_n787,15,15,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,refactor,21,16,new_n788,16,16,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,refactor,21,17,new_n789,17,17,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,refactor,21,18,new_n790,18,18,new_n892,sat_cec_proven_equivalent,1.0,,0.978515625,1.0,,1.0,,,0.05,SAT/CEC proved equivalence after the initial structural/signature matching stage missed the pair.
external_iscas85_c2670,c2670,refactor,21,19,new_n824,19,19,new_n924,sat_cec_proven_equivalent,1.0,,0.93890380859375,1.0,,1.0,,,0.05,SAT/CEC proved equivalence after the initial structural/signature matching stage missed the pair.
external_iscas85_c2670,c2670,refactor,21,20,new_n825,20,20,new_n938,exact_signature_match,1.0,,0.8093750000000001,0.6696428571428571,1.0,3.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,refactor,21,21,G2591,21,21,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,refactor_z,20,1,new_n260,1,1,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,refactor_z,20,2,new_n262,2,2,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,refactor_z,20,3,new_n263,3,3,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,refactor_z,20,4,G2559,4,4,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,refactor_z,20,5,new_n717,5,5,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,refactor_z,20,6,new_n719,6,6,new_n796,sat_cec_proven_equivalent,1.0,,0.8949300130208333,1.0,,1.0,,,0.05,SAT/CEC proved equivalence after the initial structural/signature matching stage missed the pair.
external_iscas85_c2670,c2670,refactor_z,20,7,new_n771,7,7,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,refactor_z,20,8,new_n773,8,8,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,refactor_z,20,9,new_n774,9,9,new_n845,sat_cec_proven_equivalent,1.0,,0.9208455403645832,1.0,,1.0,,,0.05,SAT/CEC proved equivalence after the initial structural/signature matching stage missed the pair.
external_iscas85_c2670,c2670,refactor_z,20,10,new_n779,10,10,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,refactor_z,20,11,new_n780,11,11,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,refactor_z,20,12,new_n782,12,12,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,refactor_z,20,13,new_n783,13,13,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,refactor_z,20,14,new_n784,14,14,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,refactor_z,20,15,new_n785,15,15,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,refactor_z,20,16,new_n822,16,16,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,refactor_z,20,17,new_n823,17,17,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,refactor_z,20,18,new_n824,18,18,new_n924,sat_cec_proven_equivalent,1.0,,0.8889038085937501,1.0,,1.0,,,0.05,SAT/CEC proved equivalence after the initial structural/signature matching stage missed the pair.
external_iscas85_c2670,c2670,refactor_z,20,19,new_n825,19,19,new_n938,exact_signature_match,1.0,,0.8177083333333334,0.6696428571428571,1.0,3.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,refactor_z,20,20,G2591,20,20,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,resub,21,1,new_n242,1,1,new_n396,exact_signature_match,1.0,,1.0,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,resub,21,2,new_n260,2,2,new_n269,exact_signature_match,1.0,,1.0,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,resub,21,3,new_n262,3,3,new_n272,exact_signature_match,1.0,,1.0,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,resub,21,4,new_n264,4,4,new_n273,exact_signature_match,1.0,,1.0,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,resub,21,5,G2559,5,5,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,resub,21,6,new_n730,6,6,new_n792,exact_signature_match,1.0,,1.0,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,resub,21,7,new_n732,7,7,new_n794,exact_signature_match,1.0,,1.0,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,resub,21,8,new_n733,8,8,new_n796,exact_signature_match,1.0,,1.0,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,resub,21,9,new_n790,9,9,new_n853,exact_signature_match,1.0,,1.0,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,resub,21,10,new_n792,10,10,new_n855,exact_signature_match,1.0,,1.0,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,resub,21,11,new_n793,11,11,new_n856,exact_signature_match,1.0,,1.0,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,resub,21,12,new_n795,12,12,new_n861,exact_signature_match,1.0,,1.0,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,resub,21,13,new_n797,13,13,new_n863,exact_signature_match,1.0,,1.0,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,resub,21,14,new_n798,14,14,new_n880,exact_signature_match,1.0,,1.0,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,resub,21,15,new_n799,15,15,new_n876,exact_signature_match,1.0,,1.0,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,resub,21,16,new_n800,16,16,new_n877,exact_signature_match,1.0,,1.0,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,resub,21,17,new_n801,17,17,new_n878,exact_signature_match,1.0,,1.0,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,resub,21,18,new_n811,18,18,new_n892,exact_signature_match,1.0,,1.0,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,resub,21,19,new_n843,19,19,new_n924,exact_signature_match,1.0,,1.0,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,resub,21,20,new_n844,20,20,new_n925,exact_signature_match,1.0,,1.0,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,resub,21,21,G2591,21,21,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,resyn,17,1,new_n296,1,1,new_n308,exact_signature_match,1.0,,1.0,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,resyn,17,2,new_n298,2,2,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,resyn,17,3,new_n299,3,3,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,resyn,17,4,new_n304,4,4,new_n318,exact_signature_match,1.0,,0.95,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,resyn,17,5,new_n617,5,5,new_n755,exact_signature_match,1.0,,0.95,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,resyn,17,6,new_n619,6,6,new_n757,exact_signature_match,1.0,,0.95,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,resyn,17,7,new_n669,7,7,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,resyn,17,8,new_n671,8,8,new_n757,exact_signature_match,1.0,,0.8500000000000001,0.7142857142857143,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,resyn,17,9,new_n673,9,9,new_n782,exact_signature_match,1.0,,0.95,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,resyn,17,10,new_n675,10,10,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,resyn,17,11,new_n687,11,11,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,resyn,17,12,new_n689,12,12,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,resyn,17,13,new_n690,13,13,new_n788,exact_signature_match,1.0,,0.95,1.0,1.0,1.0,,,0.05,Signature match from top_candidates in simulation-pattern mode.
external_iscas85_c2670,c2670,resyn,17,14,new_n692,14,14,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,resyn,17,15,G2590,15,15,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,resyn,17,16,G2593,16,16,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,resyn,17,17,G2594,17,17,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,resyn2,17,1,new_n296,1,1,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,resyn2,17,2,new_n298,2,2,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,resyn2,17,3,new_n299,3,3,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,resyn2,17,4,new_n304,4,4,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,resyn2,17,5,new_n618,5,5,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,resyn2,17,6,new_n620,6,6,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,resyn2,17,7,new_n667,7,7,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,resyn2,17,8,new_n669,8,8,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,resyn2,17,9,new_n671,9,9,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,resyn2,17,10,new_n673,10,10,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,resyn2,17,11,new_n685,11,11,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,resyn2,17,12,new_n687,12,12,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,resyn2,17,13,new_n688,13,13,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,resyn2,17,14,new_n690,14,14,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,resyn2,17,15,G2590,15,15,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,resyn2,17,16,G2593,16,16,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
external_iscas85_c2670,c2670,resyn2,17,17,G2594,17,17,,unresolved,,,,,,,,,0.05,"No signature, complemented, SAT/CEC-proven, contextual, or near-distance candidate was available."
