case_id,context_mode,anchor_mode,search_mode,failure_reason,classification,selected_odc_anchor_count
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|first_frontier|coi_output_odc,coi_output_odc,formal_all,first_frontier,invalid_ebi_cut;invalid_ebo_cut;incoming_bypass;outgoing_bypass,blocked_by_missing_relevant_anchors,0
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_all|cost_guided|coi_output_odc,coi_output_odc,formal_all,cost_guided,invalid_ebo_cut;outgoing_bypass,blocked_by_missing_relevant_anchors,0
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_plus_odc|first_frontier|coi_output_odc,coi_output_odc,formal_plus_odc,first_frontier,invalid_ebi_cut;invalid_ebo_cut;incoming_bypass;outgoing_bypass,blocked_by_missing_relevant_anchors,0
generated_adder_4|adder_bit1_carry_sum_region|resyn2|formal_plus_odc|cost_guided|coi_output_odc,coi_output_odc,formal_plus_odc,cost_guided,invalid_ebo_cut;outgoing_bypass,blocked_by_missing_relevant_anchors,0
generated_mux_tree_4|mux_tree_root|dc2|formal_all|first_frontier|global_output_odc,global_output_odc,formal_all,first_frontier,invalid_ebi_cut;incoming_bypass,blocked_by_missing_relevant_anchors,0
generated_mux_tree_4|mux_tree_root|dc2|formal_all|cost_guided|global_output_odc,global_output_odc,formal_all,cost_guided,invalid_ebi_cut;incoming_bypass,blocked_by_missing_relevant_anchors,0
generated_mux_tree_4|mux_tree_root|dc2|formal_plus_odc|first_frontier|global_output_odc,global_output_odc,formal_plus_odc,first_frontier,invalid_ebi_cut;incoming_bypass,blocked_by_missing_relevant_anchors,0
generated_mux_tree_4|mux_tree_root|dc2|formal_plus_odc|cost_guided|global_output_odc,global_output_odc,formal_plus_odc,cost_guided,invalid_ebi_cut;incoming_bypass,blocked_by_missing_relevant_anchors,0
generated_mux_tree_4|mux_tree_root|dc2|formal_all|first_frontier|coi_output_odc,coi_output_odc,formal_all,first_frontier,invalid_ebi_cut;incoming_bypass,blocked_by_missing_relevant_anchors,0
generated_mux_tree_4|mux_tree_root|dc2|formal_all|cost_guided|coi_output_odc,coi_output_odc,formal_all,cost_guided,invalid_ebi_cut;incoming_bypass,blocked_by_missing_relevant_anchors,0
generated_mux_tree_4|mux_tree_root|dc2|formal_plus_odc|first_frontier|coi_output_odc,coi_output_odc,formal_plus_odc,first_frontier,invalid_ebi_cut;incoming_bypass,blocked_by_missing_relevant_anchors,0
generated_mux_tree_4|mux_tree_root|dc2|formal_plus_odc|cost_guided|coi_output_odc,coi_output_odc,formal_plus_odc,cost_guided,invalid_ebi_cut;incoming_bypass,blocked_by_missing_relevant_anchors,0
generated_mux_tree_4|mux_tree_root|resyn2|formal_all|first_frontier|global_output_odc,global_output_odc,formal_all,first_frontier,invalid_ebi_cut;incoming_bypass,blocked_by_missing_relevant_anchors,0
generated_mux_tree_4|mux_tree_root|resyn2|formal_all|cost_guided|global_output_odc,global_output_odc,formal_all,cost_guided,invalid_ebi_cut;incoming_bypass;whole_design_candidate;extension_limit_exceeded,blocked_by_extension_limit,0
generated_mux_tree_4|mux_tree_root|resyn2|formal_all|first_frontier|coi_output_odc,coi_output_odc,formal_all,first_frontier,invalid_ebi_cut;incoming_bypass,blocked_by_missing_relevant_anchors,0
generated_mux_tree_4|mux_tree_root|resyn2|formal_all|cost_guided|coi_output_odc,coi_output_odc,formal_all,cost_guided,invalid_ebi_cut;incoming_bypass;whole_design_candidate;extension_limit_exceeded,blocked_by_extension_limit,0
generated_mux_tree_8|mux_tree_upper_root|dc2|formal_all|first_frontier|global_output_odc,global_output_odc,formal_all,first_frontier,invalid_ebi_cut;incoming_bypass,blocked_by_missing_relevant_anchors,0
generated_mux_tree_8|mux_tree_upper_root|dc2|formal_all|cost_guided|global_output_odc,global_output_odc,formal_all,cost_guided,invalid_ebi_cut;incoming_bypass,blocked_by_missing_relevant_anchors,0
generated_mux_tree_8|mux_tree_upper_root|dc2|formal_plus_odc|first_frontier|global_output_odc,global_output_odc,formal_plus_odc,first_frontier,invalid_ebi_cut;incoming_bypass,blocked_by_missing_relevant_anchors,0
generated_mux_tree_8|mux_tree_upper_root|dc2|formal_plus_odc|cost_guided|global_output_odc,global_output_odc,formal_plus_odc,cost_guided,invalid_ebi_cut;incoming_bypass,blocked_by_missing_relevant_anchors,0
generated_mux_tree_8|mux_tree_upper_root|dc2|formal_all|first_frontier|coi_output_odc,coi_output_odc,formal_all,first_frontier,invalid_ebi_cut;incoming_bypass,blocked_by_missing_relevant_anchors,0
generated_mux_tree_8|mux_tree_upper_root|dc2|formal_all|cost_guided|coi_output_odc,coi_output_odc,formal_all,cost_guided,invalid_ebi_cut;incoming_bypass,blocked_by_missing_relevant_anchors,0
generated_mux_tree_8|mux_tree_upper_root|dc2|formal_plus_odc|first_frontier|coi_output_odc,coi_output_odc,formal_plus_odc,first_frontier,invalid_ebi_cut;incoming_bypass,blocked_by_missing_relevant_anchors,0
generated_mux_tree_8|mux_tree_upper_root|dc2|formal_plus_odc|cost_guided|coi_output_odc,coi_output_odc,formal_plus_odc,cost_guided,invalid_ebi_cut;incoming_bypass,blocked_by_missing_relevant_anchors,0
generated_mux_tree_8|mux_tree_upper_root|resyn2|formal_all|first_frontier|global_output_odc,global_output_odc,formal_all,first_frontier,invalid_ebi_cut;incoming_bypass,blocked_by_missing_relevant_anchors,0
generated_mux_tree_8|mux_tree_upper_root|resyn2|formal_all|cost_guided|global_output_odc,global_output_odc,formal_all,cost_guided,invalid_ebi_cut;incoming_bypass,blocked_by_missing_relevant_anchors,0
generated_mux_tree_8|mux_tree_upper_root|resyn2|formal_plus_odc|first_frontier|global_output_odc,global_output_odc,formal_plus_odc,first_frontier,boundary_still_invalid,boundary_still_invalid,1
generated_mux_tree_8|mux_tree_upper_root|resyn2|formal_plus_odc|cost_guided|global_output_odc,global_output_odc,formal_plus_odc,cost_guided,boundary_still_invalid,boundary_still_invalid,1
generated_mux_tree_8|mux_tree_upper_root|resyn2|formal_all|first_frontier|coi_output_odc,coi_output_odc,formal_all,first_frontier,invalid_ebi_cut;incoming_bypass,blocked_by_missing_relevant_anchors,0
generated_mux_tree_8|mux_tree_upper_root|resyn2|formal_all|cost_guided|coi_output_odc,coi_output_odc,formal_all,cost_guided,invalid_ebi_cut;incoming_bypass,blocked_by_missing_relevant_anchors,0
generated_mux_tree_8|mux_tree_upper_root|resyn2|formal_plus_odc|first_frontier|coi_output_odc,coi_output_odc,formal_plus_odc,first_frontier,boundary_still_invalid,boundary_still_invalid,1
generated_mux_tree_8|mux_tree_upper_root|resyn2|formal_plus_odc|cost_guided|coi_output_odc,coi_output_odc,formal_plus_odc,cost_guided,boundary_still_invalid,boundary_still_invalid,1
