benchmark,circuit,optimization,path_length,path_index,optimized_node,mapped_original_node,mapping_category,ranking_mode,baseline_rank,enhanced_rank,rank_delta,cofactor_consistency_score,max_cofactor_error,sensitivity_cosine_similarity,boolean_difference_similarity,functional_feature_mode,functional_feature_evidence_level
external_iscas85_c2670,c2670,compress2rs,17,4,new_n304,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,compress2rs,17,5,new_n617,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,compress2rs,17,6,new_n619,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,compress2rs,17,7,new_n666,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,compress2rs,17,8,new_n668,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,compress2rs,17,9,new_n670,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,compress2rs,17,10,new_n672,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,compress2rs,17,11,new_n684,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,compress2rs,17,12,new_n686,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,compress2rs,17,13,new_n687,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,compress2rs,17,14,new_n689,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,compress2rs,17,15,G2590,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,compress2rs,17,16,G2593,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,compress2rs,17,17,G2594,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,dc2,20,1,new_n244,new_n395,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,dc2,20,2,new_n261,new_n267,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,dc2,20,3,new_n263,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,dc2,20,4,new_n265,new_n273,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,dc2,20,5,G2559,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,dc2,20,6,new_n678,new_n792,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,dc2,20,7,new_n701,new_n796,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,dc2,20,8,new_n714,new_n796,global_approximate_near_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,dc2,20,9,new_n716,new_n911,global_approximate_near_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,dc2,20,10,new_n717,new_n919,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,dc2,20,11,new_n722,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,dc2,20,12,new_n729,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,dc2,20,13,new_n736,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,dc2,20,14,new_n740,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,dc2,20,15,new_n741,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,dc2,20,16,new_n748,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,dc2,20,17,new_n751,new_n924,sat_cec_proven_equivalent,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,dc2,20,18,new_n759,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,dc2,20,19,new_n760,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,dc2,20,20,G2591,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor,21,1,new_n260,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor,21,2,new_n262,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor,21,3,new_n263,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor,21,4,G2559,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor,21,5,new_n718,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor,21,6,new_n721,new_n796,sat_cec_proven_equivalent,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor,21,7,new_n776,new_n842,sat_cec_proven_equivalent,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor,21,8,new_n778,new_n844,sat_cec_proven_equivalent,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor,21,9,new_n779,new_n845,sat_cec_proven_equivalent,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor,21,10,new_n781,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor,21,11,new_n782,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor,21,12,new_n784,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor,21,13,new_n785,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor,21,14,new_n786,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor,21,15,new_n787,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor,21,16,new_n788,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor,21,17,new_n789,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor,21,18,new_n790,new_n892,sat_cec_proven_equivalent,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor,21,19,new_n824,new_n924,sat_cec_proven_equivalent,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor,21,20,new_n825,new_n938,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor,21,21,G2591,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor_z,20,1,new_n260,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor_z,20,2,new_n262,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor_z,20,3,new_n263,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor_z,20,4,G2559,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor_z,20,5,new_n717,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor_z,20,6,new_n719,new_n796,sat_cec_proven_equivalent,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor_z,20,7,new_n771,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor_z,20,8,new_n773,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor_z,20,9,new_n774,new_n845,sat_cec_proven_equivalent,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor_z,20,10,new_n779,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor_z,20,11,new_n780,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor_z,20,12,new_n782,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor_z,20,13,new_n783,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor_z,20,14,new_n784,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor_z,20,15,new_n785,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor_z,20,16,new_n822,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor_z,20,17,new_n823,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor_z,20,18,new_n824,new_n924,sat_cec_proven_equivalent,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor_z,20,19,new_n825,new_n938,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,refactor_z,20,20,G2591,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resub,21,1,new_n242,new_n396,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resub,21,2,new_n260,new_n269,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resub,21,3,new_n262,new_n272,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resub,21,4,new_n264,new_n273,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resub,21,5,G2559,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resub,21,6,new_n730,new_n792,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resub,21,7,new_n732,new_n794,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resub,21,8,new_n733,new_n796,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resub,21,9,new_n790,new_n853,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resub,21,10,new_n792,new_n855,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resub,21,11,new_n793,new_n856,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resub,21,12,new_n795,new_n861,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resub,21,13,new_n797,new_n863,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resub,21,14,new_n798,new_n880,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resub,21,15,new_n799,new_n876,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resub,21,16,new_n800,new_n877,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resub,21,17,new_n801,new_n878,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resub,21,18,new_n811,new_n892,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resub,21,19,new_n843,new_n924,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resub,21,20,new_n844,new_n925,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resub,21,21,G2591,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn,17,1,new_n296,new_n308,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn,17,2,new_n298,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn,17,3,new_n299,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn,17,4,new_n304,new_n318,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn,17,5,new_n617,new_n755,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn,17,6,new_n619,new_n757,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn,17,7,new_n669,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn,17,8,new_n671,new_n757,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn,17,9,new_n673,new_n782,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn,17,10,new_n675,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn,17,11,new_n687,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn,17,12,new_n689,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn,17,13,new_n690,new_n788,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn,17,14,new_n692,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn,17,15,G2590,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn,17,16,G2593,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn,17,17,G2594,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2,17,1,new_n296,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2,17,2,new_n298,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2,17,3,new_n299,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2,17,4,new_n304,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2,17,5,new_n618,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2,17,6,new_n620,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2,17,7,new_n667,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2,17,8,new_n669,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2,17,9,new_n671,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2,17,10,new_n673,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2,17,11,new_n685,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2,17,12,new_n687,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2,17,13,new_n688,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2,17,14,new_n690,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2,17,15,G2590,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2,17,16,G2593,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2,17,17,G2594,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2_like,17,1,new_n296,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2_like,17,2,new_n298,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2_like,17,3,new_n299,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2_like,17,4,new_n304,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2_like,17,5,new_n618,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2_like,17,6,new_n620,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2_like,17,7,new_n667,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2_like,17,8,new_n669,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2_like,17,9,new_n671,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2_like,17,10,new_n673,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2_like,17,11,new_n685,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2_like,17,12,new_n687,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2_like,17,13,new_n688,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2_like,17,14,new_n690,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2_like,17,15,G2590,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2_like,17,16,G2593,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,resyn2_like,17,17,G2594,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite,21,1,new_n261,new_n268,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite,21,2,new_n262,new_n269,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite,21,3,new_n264,new_n272,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite,21,4,new_n266,new_n273,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite,21,5,G2559,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite,21,6,new_n690,new_n792,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite,21,7,new_n725,new_n796,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite,21,8,new_n738,new_n853,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite,21,9,new_n740,new_n855,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite,21,10,new_n741,new_n856,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite,21,11,new_n743,new_n861,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite,21,12,new_n745,new_n863,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite,21,13,new_n750,new_n880,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite,21,14,new_n751,new_n876,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite,21,15,new_n752,new_n877,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite,21,16,new_n757,new_n878,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite,21,17,new_n769,new_n892,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite,21,18,new_n797,new_n924,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite,21,19,new_n798,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite,21,20,new_n799,new_n933,global_approximate_near_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite,21,21,G2591,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite_z,21,1,new_n261,new_n268,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite_z,21,2,new_n262,new_n269,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite_z,21,3,new_n264,new_n272,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite_z,21,4,new_n266,new_n273,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite_z,21,5,G2559,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite_z,21,6,new_n681,new_n792,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite_z,21,7,new_n712,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite_z,21,8,new_n713,new_n796,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite_z,21,9,new_n727,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite_z,21,10,new_n728,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite_z,21,11,new_n729,new_n856,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite_z,21,12,new_n730,new_n883,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite_z,21,13,new_n737,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite_z,21,14,new_n738,new_n880,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite_z,21,15,new_n773,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite_z,21,16,new_n776,new_n899,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite_z,21,17,new_n778,,unresolved,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite_z,21,18,new_n779,new_n923,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite_z,21,19,new_n780,new_n924,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite_z,21,20,new_n786,new_n933,global_approximate_near_match,full_combined,,,,,,,,,
external_iscas85_c2670,c2670,rewrite_z,21,21,G2591,,unresolved,full_combined,,,,,,,,,
external_iscas85_c432,c432,balance,25,1,new_n46,new_n46,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c432,c432,balance,25,2,new_n54,,unresolved,full_combined,,,,,,,,,
external_iscas85_c432,c432,balance,25,3,new_n58,,unresolved,full_combined,,,,,,,,,
external_iscas85_c432,c432,balance,25,4,new_n59,,unresolved,full_combined,,,,,,,,,
external_iscas85_c432,c432,balance,25,5,G426,,unresolved,full_combined,,,,,,,,,
external_iscas85_c432,c432,balance,25,6,new_n71,new_n61,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c432,c432,balance,25,7,new_n73,new_n73,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c432,c432,balance,25,8,new_n75,new_n75,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c432,c432,balance,25,9,new_n107,,unresolved,full_combined,,,,,,,,,
external_iscas85_c432,c432,balance,25,10,new_n111,,unresolved,full_combined,,,,,,,,,
external_iscas85_c432,c432,balance,25,11,new_n112,,unresolved,full_combined,,,,,,,,,
external_iscas85_c432,c432,balance,25,12,G427,,unresolved,full_combined,,,,,,,,,
external_iscas85_c432,c432,balance,25,13,new_n126,new_n114,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c432,c432,balance,25,14,new_n128,new_n128,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c432,c432,balance,25,15,new_n131,new_n131,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c432,c432,balance,25,16,new_n169,,unresolved,full_combined,,,,,,,,,
external_iscas85_c432,c432,balance,25,17,new_n173,,unresolved,full_combined,,,,,,,,,
external_iscas85_c432,c432,balance,25,18,new_n174,,unresolved,full_combined,,,,,,,,,
external_iscas85_c432,c432,balance,25,19,G428,,unresolved,full_combined,,,,,,,,,
external_iscas85_c432,c432,balance,25,20,new_n212,new_n176,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c432,c432,balance,25,21,new_n217,new_n217,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c432,c432,balance,25,22,new_n243,new_n243,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c432,c432,balance,25,23,new_n245,new_n245,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c432,c432,balance,25,24,new_n251,new_n251,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c432,c432,balance,25,25,G432,,unresolved,full_combined,,,,,,,,,
external_iscas85_c432,c432,compress2rs,23,1,new_n46,new_n51,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c432,c432,compress2rs,23,2,new_n54,new_n53,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c432,c432,compress2rs,23,3,new_n58,,unresolved,full_combined,,,,,,,,,
external_iscas85_c432,c432,compress2rs,23,4,new_n59,,unresolved,full_combined,,,,,,,,,
external_iscas85_c432,c432,compress2rs,23,5,G426,,unresolved,full_combined,,,,,,,,,
external_iscas85_c432,c432,compress2rs,23,6,new_n67,new_n61,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c432,c432,compress2rs,23,7,new_n68,new_n187,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c432,c432,compress2rs,23,8,new_n69,new_n65,sat_cec_proven_equivalent,full_combined,,,,,,,,,
external_iscas85_c432,c432,compress2rs,23,9,new_n92,,unresolved,full_combined,,,,,,,,,
external_iscas85_c432,c432,compress2rs,23,10,new_n93,,unresolved,full_combined,,,,,,,,,
external_iscas85_c432,c432,compress2rs,23,11,G427,,unresolved,full_combined,,,,,,,,,
external_iscas85_c432,c432,compress2rs,23,12,new_n118,new_n114,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c432,c432,compress2rs,23,13,new_n119,new_n223,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c432,c432,compress2rs,23,14,new_n120,,unresolved,full_combined,,,,,,,,,
external_iscas85_c432,c432,compress2rs,23,15,new_n131,,unresolved,full_combined,,,,,,,,,
external_iscas85_c432,c432,compress2rs,23,16,new_n132,,unresolved,full_combined,,,,,,,,,
external_iscas85_c432,c432,compress2rs,23,17,G428,,unresolved,full_combined,,,,,,,,,
external_iscas85_c432,c432,compress2rs,23,18,new_n137,new_n176,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c432,c432,compress2rs,23,19,new_n140,new_n211,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c432,c432,compress2rs,23,20,new_n145,new_n241,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c432,c432,compress2rs,23,21,new_n171,new_n245,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c432,c432,compress2rs,23,22,new_n180,new_n251,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c432,c432,compress2rs,23,23,G432,,unresolved,full_combined,,,,,,,,,
external_iscas85_c432,c432,dc2,26,1,new_n47,new_n48,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c432,c432,dc2,26,2,new_n49,,unresolved,full_combined,,,,,,,,,
external_iscas85_c432,c432,dc2,26,3,new_n53,,unresolved,full_combined,,,,,,,,,
external_iscas85_c432,c432,dc2,26,4,new_n59,,unresolved,full_combined,,,,,,,,,
external_iscas85_c432,c432,dc2,26,5,G426,,unresolved,full_combined,,,,,,,,,
external_iscas85_c432,c432,dc2,26,6,new_n70,new_n61,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c432,c432,dc2,26,7,new_n71,new_n223,exact_signature_match,full_combined,,,,,,,,,
external_iscas85_c432,c432,dc2,26,8,new_n72,,unresolved,full_combined,,,,,,,,,
external_iscas85_c432,c432,dc2,26,9,new_n76,,unresolved,full_combined,,,,,,,,,
